frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,license_plate_tesseract
0,2.0,[1187.0911865234375 601.075927734375 1849.1654052734375 969.303955078125],[1597.3927001953125 826.7286987304688 1690.4190673828125 863.2999877929688],0.6981980800628662,AA532PA,0.2507732891713216,None
4,2.0,[1200.288070902524 602.6772169076703 1894.411352004984 1013.6178590294451],[1722.6749267578125 844.7003173828125 1836.0750732421875 887.8749389648438],0.7222840189933777,AA532PM,0.4316493560280019,BA532PH
5,2.0,[1201.876414022458 601.5751753518575 1895.3047664188857 1023.9358415922766],[1722.6712646484375 844.6636962890625 1836.1043701171875 887.87548828125],0.7224141359329224,AA532PM,0.4152642416318543,None
133,1.0,[952.6402489918557 669.0530175234986 1278.313295244079 935.8425557468214],[1059.8671875 775.0076293945312 1120.4271240234375 802.4093627929688],0.7617758512496948,TNL219,0.19836114221076398,None
134,1.0,[951.7580921399715 667.513582732786 1279.1819191442125 935.7587176951969],[1059.868896484375 775.074462890625 1120.4281005859375 802.4161376953125],0.7605891823768616,TNL219,0.19836114221076398,None
139,1.0,[945.00554815952 668.8951561794485 1288.158094434557 948.3244242305078],[1059.0985107421875 772.4668579101562 1123.4189453125 806.0729370117188],0.7641363739967346,TNL279,0.35289694968891383,None
142,1.0,[939.011657947784 666.0030612894104 1294.0148044865496 954.0105292301025],[1057.9652099609375 771.0580444335938 1122.77685546875 806.1817016601562],0.7600008249282837,KNH279,0.373202356738076,None
147,1.0,[931.8145926939101 657.9580767198111 1303.4975121993616 957.8556612469606],[1057.7772216796875 772.0529174804688 1125.7042236328125 809.8759155273438],0.7597954869270325,KNL279,0.3200341880932878,None
149,1.0,[928.9453869026295 658.3510890539928 1310.7833419910255 964.8378367876128],[1052.4283447265625 781.1429443359375 1129.255615234375 814.786376953125],0.7336795926094055,KNE279,0.3337278943446471,None
150,1.0,[927.4761337347605 659.0322432037907 1313.0996860688397 968.1485373969111],[1052.38818359375 781.0720825195312 1129.2730712890625 814.8154907226562],0.7336108684539795,KNL279,0.34993045199688044,KNL279
151,1.0,[925.372330658535 657.6756249772465 1315.6423617317434 972.3384313150754],[1051.720458984375 783.2337036132812 1128.4215087890625 823.192626953125],0.7926425933837891,KNH279,0.4793567780758625,KNM279
154,1.0,[921.3369877498901 638.4986777769456 1325.4558776447127 972.9752612602757],[1051.4285888671875 789.4896850585938 1130.1846923828125 828.2633666992188],0.7678191065788269,KNH279,0.5669216332026014,KNM279
155,1.0,[920.0688092977732 634.9095042574012 1327.8049280627167 974.9493555339076],[1051.4739990234375 789.50830078125 1130.20458984375 828.125244140625],0.7670341730117798,KNH279,0.21399167746451886,KNM279
156,1.0,[918.3222454275565 631.0868701831137 1330.0580651740893 979.0631120651806],[1053.0938720703125 789.5989990234375 1131.400390625 829.66650390625],0.7694814205169678,KNH279,0.663405895174396,KNM279
158,1.0,[913.0408693108272 625.1137661452683 1335.8340818483873 990.6162428029393],[1048.8331298828125 790.5587768554688 1132.961669921875 832.0867309570312],0.7688144445419312,KNH279,0.39692646807349713,KNM279
159,1.0,[911.197848214077 622.3744392282207 1338.145556518742 994.3621592072647],[1048.83544921875 790.5626831054688 1132.9317626953125 832.0833129882812],0.7688521146774292,KNH279,0.3849706756878074,KNM279
160,1.0,[909.7827809061009 620.6780021990894 1339.666735213822 997.0853534573669],[1048.8350830078125 790.5548095703125 1132.9486083984375 832.087158203125],0.7691510915756226,KNH279,0.3849706756878074,KNM279
161,1.0,[907.8191617493418 619.0258033737479 1340.7935061252833 999.5549016080737],[1048.7584228515625 790.3748168945312 1133.068603515625 833.9306640625],0.7539916634559631,KNL279,0.4569443857522122,KNM279
162,1.0,[906.5415360172618 608.0725261357734 1343.3277766556153 996.3137105131364],[1048.587890625 790.0535888671875 1136.400146484375 834.120849609375],0.769117534160614,KNH279,0.2532027722920841,KNM279
163,1.0,[904.3548362967972 603.8770726285998 1344.3186936988654 996.817624479321],[1048.677978515625 789.656982421875 1136.009765625 832.115478515625],0.7679393291473389,KNH279,0.3046049687340696,KNN279
164,1.0,[902.9859984975542 601.5137445744922 1345.198255560475 997.8132594064004],[1048.672607421875 789.6399536132812 1136.0343017578125 832.1237182617188],0.7680292129516602,KNH279,0.28705643443299306,KNN279
165,1.0,[902.5379514412621 606.2433790674975 1347.7499338619068 1002.4723510012707],[1047.10888671875 788.836669921875 1136.31201171875 831.6835327148438],0.7780610918998718,KNH279,0.5030018652366904,KNN279
