frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,license_plate_tesseract,license_plate_tesseract_score,license_plate_google
76,3.0,[20.209411712725057 480.04486170151495 654.8324653814996 911.7144017005803],[174.4507598876953 641.2262573242188 303.1893310546875 682.593994140625],0.7949259281158447,AF291AJ,0.357286273797685,None,None,AF291AJ
79,3.0,[-3.7560361376096125 466.54887134770115 652.1262991854983 917.186037630426],[126.36436462402344 639.7899169921875 261.49346923828125 682.8330688476562],0.8108422160148621,AF291AJ,0.3631522777403915,None,None,AF291AJ
85,3.0,[-14.613373122423582 434.46560928010183 617.0760727960732 930.6441199804209],[0.0 625.4322509765625 140.78173828125 676.1722412109375],0.837546169757843,TF291AJ,0.44742953674472574,None,None,None
112,1.0,[724.8305440878082 479.5018677698043 1257.2640159426628 922.2325792271376],[925.1464233398438 773.0841064453125 1032.6007080078125 820.319091796875],0.7908744215965271,JBF664,0.4097153929896865,None,None,JBE668
161,1.0,[779.8954628656026 533.0220851585958 1388.7576238962283 1024.98983826844],[1002.1107788085938 859.0374755859375 1119.516845703125 911.121826171875],0.7844145894050598,JBE668,0.22569994667065005,JBE668,None,JBE668
162,1.0,[783.3116928451083 533.9837733548541 1389.439565255887 1023.4957480069168],[1002.1153564453125 859.0572509765625 1119.5101318359375 911.12255859375],0.7842977046966553,JBE668,0.22569994667065005,JBE668,None,JBE668
167,1.0,[808.3238040617398 548.471910363199 1408.8748821262516 1041.334357563857],[1032.8565673828125 870.5326538085938 1147.41796875 924.5267944335938],0.7991406917572021,JBE668,0.7767900229825805,None,None,JBE668
168,1.0,[810.7857872075781 549.7798101328532 1409.7194889779073 1041.9264512364894],[1032.8526611328125 870.4934692382812 1147.419921875 924.5231323242188],0.7993016242980957,JBE668,0.7767900229825805,None,None,JBE668
170,1.0,[819.2534240553291 553.729313281539 1415.1145921189923 1044.5319728701377],[1042.1258544921875 874.7310791015625 1156.7359619140625 926.2803955078125],0.8141710758209229,JBE668,0.6778484540863652,OBE668,None,JBE668
182,1.0,[842.3299629876294 561.7488350403162 1424.708155569814 1043.324751649783],[1063.5120849609375 877.4144897460938 1177.546875 929.7537231445312],0.7975367307662964,JBE668,0.37459331105818655,JBE668,None,JBE668
183,1.0,[842.5340537872479 559.6716620352305 1425.1676152598043 1041.1125365691796],[1063.99560546875 870.0188598632812 1178.4727783203125 921.8842163085938],0.7945083975791931,JBE668,0.6772008654514853,JBE668,None,JBE668
184,1.0,[841.0088251280249 558.2919481494571 1423.3621983153075 1039.136269216311],[1062.9122314453125 870.0296630859375 1177.7149658203125 921.673828125],0.795758068561554,JBE668,0.25681130611517083,JBE668,None,JBE668
269,1.0,[797.9742521352719 503.6283038558057 1546.7347760805847 1072.7653150656524],[1091.5123291015625 908.2120971679688 1238.3958740234375 980.1307983398438],0.8434990048408508,JBE668,0.5974347762652366,None,None,JBE668
