frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,license_plate_tesseract,license_plate_tesseract_score,license_plate_google,license_plate_google_score,faces
60,1.0,[-4.166231407588043 285.3979079061953 1116.0591087236603 1076.4830224097598],[114.95741271972656 833.532958984375 361.8050537109375 958.0023803710938],0.8725235462188721,HTK759,0.45827741195176025,None,None,HTK759,None,
85,12.0,[2.629625182572113 279.8410126379949 1184.8697942810095 1071.1140932840385],[218.61415100097656 807.1102294921875 443.2496337890625 922.5205078125],0.8400334715843201,HTK759,0.8340605322792803,HTK759,None,None,None,
87,12.0,[1.797393158696309 280.4539277091068 1187.9292872545616 1069.9273393127169],[221.4353485107422 801.8067626953125 445.468994140625 917.78173828125],0.8484446406364441,HTK759,0.5531944718952023,HTK759,None,HTK759,None,
89,12.0,[2.3344568225453486 274.86159044350603 1193.0963163109718 1062.5363159913531],[228.7935333251953 798.4318237304688 451.4579772949219 911.1923828125],0.8577808737754822,HPK759,0.4187647460903811,HTK759,None,None,None,
90,12.0,[1.9056906653453325 275.3576325833409 1194.4397007399893 1061.1620475575864],[231.2714080810547 795.3187866210938 452.57806396484375 911.4105834960938],0.8663136959075928,HTK759,0.34922738265078646,HTK759,None,None,None,
93,12.0,[4.137812987969937 272.75427342364554 1205.3033093741567 1057.1727434054228],[240.74212646484375 791.3226928710938 462.5523376464844 905.6394653320312],0.867481529712677,HTK759,0.6928603924819462,HIK759,None,None,None,
96,12.0,[4.132913605287172 271.49409379888823 1214.0613736257033 1053.1552736837612],[254.3957061767578 789.170654296875 473.97796630859375 900.482666015625],0.8574048280715942,HTK759,0.4894872797881806,HTK759,None,None,None,images/rostros/rostro_0.jpg
99,-1,[-1 -1 -1 -1],[258.2560729980469 785.290283203125 478.7530517578125 898.2061157226562],0.8818771839141846,HTK759,0.2070840050926239,HIK759,None,None,None,
100,-1,[-1 -1 -1 -1],[265.92254638671875 783.2464599609375 483.0979919433594 896.4779663085938],0.8810476660728455,HTK759,0.6225245673132307,HTK759,None,None,None,
101,-1,[-1 -1 -1 -1],[271.4881896972656 782.3897705078125 489.53411865234375 894.1699829101562],0.8739815950393677,HTK759,0.8379976937133212,HIK759,None,None,None,
102,12.0,[8.608581815285788 270.5644172707634 1230.7734268222962 1049.2665238408438],[275.643310546875 779.6858520507812 490.9761047363281 895.6432495117188],0.8646526336669922,HTK759,0.6323412243233064,HIK759,None,HTK759,None,
103,12.0,[13.454924677762506 270.4696326534065 1234.810719296463 1048.3376910165773],[281.97821044921875 778.5684814453125 498.1194763183594 891.4771728515625],0.8542730212211609,HTK759,0.6986845695841962,HTK759,None,None,None,
104,12.0,[15.302328872276235 270.59478386569015 1236.0986745998052 1047.8203161978677],[281.9863586425781 778.5750732421875 498.1443786621094 891.50244140625],0.8540133833885193,HTK759,0.24116754079347305,HTK759,None,None,None,
105,12.0,[16.566388788358154 270.1773286697661 1238.1237913597527 1046.6419178187275],[283.97125244140625 774.659912109375 499.6978759765625 889.1112670898438],0.8593757152557373,HTK759,0.3624105430995269,HIK759,None,HTK759,None,
106,12.0,[22.676960834047463 268.5568891214188 1242.411873616395 1043.7081580514175],[286.4040222167969 771.6625366210938 503.5975341796875 887.5496215820312],0.8669298887252808,HTK759,0.5051251928564301,HTK759,None,None,None,
107,12.0,[32.654839714786476 267.44293646859126 1247.4673882357931 1041.0982379144066],[291.3106384277344 772.5406494140625 508.5579528808594 887.2716064453125],0.8685204982757568,HTK759,0.2790556808410845,HIK759,None,HTK759,None,
108,12.0,[39.09221331240724 267.15654518585717 1254.173552595281 1040.6838971371462],[295.4630126953125 770.9344482421875 511.81988525390625 887.208984375],0.8798620104789734,HTK759,0.4876873590138626,HIK759,None,None,None,
109,12.0,[47.730623563822746 267.47600798103167 1257.649807588312 1039.8597667362908],[301.0513000488281 769.9019165039062 515.1114501953125 886.4573364257812],0.8698933720588684,HTK759,0.6478256129134402,HTK759,None,None,None,
110,12.0,[51.675349109409694 267.7687428246753 1257.9183772332012 1039.3503232588637],[301.06805419921875 769.9334106445312 515.1103515625 886.447265625],0.8699173927307129,HTK759,0.3167269658849449,HTK759,None,None,None,
111,12.0,[56.75932191902223 266.19199851799635 1259.6795320822007 1037.4801045587806],[303.8826599121094 768.834228515625 519.1650390625 886.2066650390625],0.8691350221633911,HIK759,0.43036656134293483,None,None,None,None,
112,12.0,[61.592553054501195 265.8964241224267 1263.8197660160824 1035.8735061536645],[307.4111022949219 768.7042236328125 521.8055419921875 884.2985229492188],0.8661260008811951,HTK759,0.4081437497295891,HIK759,None,None,None,
113,12.0,[66.19577637570785 266.2183780309039 1267.0891538573255 1035.2047332933753],[311.3490295410156 767.8828125 528.1744995117188 883.509521484375],0.8690695762634277,HTK759,0.654677238040128,None,None,None,None,images/rostros/rostro_1.jpg
115,12.0,[73.59505851096833 265.4915787467854 1275.0706287251426 1034.4881366476143],[319.0667724609375 767.4041748046875 533.2598876953125 882.3839721679688],0.8674127459526062,HTK759,0.22822827566597406,HIK759,None,HTK759,None,images/rostros/rostro_2.jpg
116,12.0,[73.85407930402926 265.05376133706596 1277.469599530597 1034.605519644009],[319.05810546875 767.3878784179688 533.2852783203125 882.4081420898438],0.8676154613494873,HTK759,0.2586689226500878,HIK759,None,HTK759,None,images/rostros/rostro_3.jpg
118,12.0,[83.04773643604256 262.0756603486155 1280.555485952023 1031.7692001737191],[325.6353454589844 766.50390625 538.82666015625 881.512451171875],0.8565019369125366,HTK759,0.5391620270229007,HIK759,None,HTK759,None,images/rostros/rostro_4.jpg
119,12.0,[87.4292655256379 262.2538474818221 1284.355775341822 1031.938183005956],[327.6064453125 766.0578002929688 543.0986938476562 881.1055297851562],0.8571053147315979,HTK759,0.3789493260466537,HIK759,None,None,None,
120,12.0,[90.26982725347727 261.6494690139756 1288.8658705338335 1031.9383670646262],[330.168701171875 766.3765869140625 544.0018310546875 879.5570068359375],0.8733193874359131,HTK759,0.5646325961635974,HIK759,None,None,None,
121,12.0,[95.38012094117414 260.99749226920653 1294.6901147758267 1031.424462273813],[332.6022644042969 765.9032592773438 547.4705200195312 878.584716796875],0.8722817301750183,HTK759,0.5006585446656672,HIK759,None,HTK759,None,
122,12.0,[97.05182126225827 260.7405863538825 1296.9110478539124 1031.2040518867743],[332.5637512207031 765.894287109375 547.4661865234375 878.5499267578125],0.8723522424697876,HTK759,0.2086750603482126,HIK759,None,HTK759,None,
123,12.0,[98.96866854734253 260.8386519990057 1298.2503529928817 1030.6133023306584],[338.0144348144531 764.5028686523438 551.9619750976562 875.184814453125],0.8828403949737549,HTK759,0.37172374324510754,HIK759,None,None,None,
124,12.0,[101.82230722156248 260.91216704484236 1301.2781228869549 1030.3609516275815],[341.126953125 765.5780639648438 552.873046875 876.111328125],0.8817551732063293,HTK759,0.34671070400285253,HIK759,None,None,None,
