                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0709,                 1.2193,                 2.0847,                  1.059,                0.78422,                0.60756,                0.70196,                0.49981,                0.78029,                0.60452,                0.69309,                0.45606,                  1.089,                  1.261,                 2.2802,                 1.1534,               0.000662,               0.000662,               0.000662
                      2,                 1.1725,                 1.2894,                 1.4347,                 1.2076,                0.93528,                0.74666,                0.81886,                0.49124,                0.93081,                 0.7538,                0.82671,                0.56448,                 1.2511,                 1.3821,                 1.4635,                 1.3985,              0.0012848,              0.0012848,              0.0012848
                      3,                 1.4546,                  1.463,                 2.2386,                 1.4266,                0.02207,                0.65046,                0.01998,                0.01201,                0.02207,                0.65046,                 0.0199,                0.01156,                 1.2812,                 2.0966,                 116.16,                 1.4892,              0.0018636,              0.0018636,              0.0018636
                      4,                 1.4414,                 1.3674,                 1.7723,                 1.3975,                0.00406,                0.57447,                0.00299,                0.00194,                0.00407,                0.57751,                0.00304,                0.00193,                 1.3724,                 3.0749,                 622.91,                 1.5667,               0.001802,               0.001802,               0.001802
                      5,                 1.3719,                 1.5295,                 1.3795,                 1.3099,                0.86514,                0.79027,                0.82997,                0.55464,                0.87491,                0.77204,                0.83288,                0.55483,                 1.1831,                 1.8917,                 1.2568,                 1.3548,               0.001802,               0.001802,               0.001802
                      6,                 1.1906,                 1.2905,                 1.2724,                 1.2736,                0.89203,                0.65653,                0.75505,                0.52424,                 0.8879,                 0.6535,                0.74964,                0.53247,                 1.2411,                 2.9499,                 1.3037,                 1.4414,               0.001736,               0.001736,               0.001736
                      7,                 1.3056,                 1.4743,                 1.2932,                 1.3861,                0.86781,                0.69301,                0.80243,                0.57676,                0.89855,                0.67301,                0.80041,                0.55391,                  1.106,                 2.2302,                  1.073,                 1.2677,                0.00167,                0.00167,                0.00167
                      8,                 1.1716,                 1.1023,                 1.1374,                  1.265,                0.91762,                0.74164,                0.84154,                0.61031,                0.90115,                0.74818,                0.84244,                0.57507,                  1.081,                 1.8677,                 1.1628,                 1.2994,               0.001604,               0.001604,               0.001604
                      9,                 1.1743,                 1.1098,                    1.1,                 1.2344,                0.93379,                0.77157,                0.88479,                0.66237,                0.93746,                0.77461,                0.88556,                0.65087,                 0.9807,                 1.1533,                0.86086,                 1.1745,               0.001538,               0.001538,               0.001538
                     10,                 1.1203,                 1.1257,                 1.0945,                 1.1691,                0.90804,                0.69027,                0.77094,                0.57406,                0.92556,                0.68023,                0.76553,                0.53443,                 1.0638,                  4.452,                 1.1054,                 1.2758,               0.001472,               0.001472,               0.001472
                     11,                 1.1207,                 1.1548,                 1.0242,                 1.1905,                0.91313,                0.67098,                0.74278,                0.55794,                0.90756,                0.67477,                0.73677,                0.52587,                 1.1208,                 2.2301,                 1.2976,                 1.3214,               0.001406,               0.001406,               0.001406
                     12,                 1.2009,                  1.086,                 1.0282,                 1.2299,                0.88426,                0.62006,                0.68369,                0.46426,                0.88426,                0.62006,                0.68309,                0.50221,                 1.3256,                 6.1816,                 1.3587,                 1.4681,                0.00134,                0.00134,                0.00134
                     13,                 1.1032,                 1.0775,                0.96717,                 1.1933,                0.87136,                0.78116,                0.86925,                0.66864,                0.89431,                0.77157,                0.85848,                0.58236,                0.91899,                 1.1695,                0.82098,                 1.1357,               0.001274,               0.001274,               0.001274
                     14,                 1.0474,                 1.1169,                0.88685,                 1.1506,                0.91632,                0.81459,                0.88765,                0.67755,                0.93313,                0.80588,                0.88832,                0.65683,                0.90248,                 1.0126,                0.84808,                  1.098,               0.001208,               0.001208,               0.001208
                     15,                 1.0834,                 1.0662,                0.86092,                 1.1862,                0.94738,                0.81763,                0.91011,                0.69622,                0.94738,                0.81763,                0.90251,                0.68458,                0.88282,                0.90824,                0.71137,                  1.084,               0.001142,               0.001142,               0.001142
                     16,                 1.0028,                0.95011,                0.78021,                 1.1222,                0.96529,                0.84532,                0.92146,                0.69981,                0.96878,                0.84876,                0.92752,                0.67191,                   0.87,                0.88211,                0.70115,                 1.0868,               0.001076,               0.001076,               0.001076
                     17,                0.88451,                0.89281,                0.69747,                 1.0364,                0.95305,                 0.8693,                0.92929,                0.71866,                0.95305,                 0.8693,                0.92867,                0.68885,                0.81113,                 1.7406,                0.62667,                  1.063,                0.00101,                0.00101,                0.00101
                     18,                0.90983,                  0.902,                0.73408,                 1.0917,                 0.9692,                 0.8693,                0.92714,                0.73382,                 0.9692,                 0.8693,                0.92126,                0.67598,                0.77117,                0.76893,                 0.6196,                 1.0355,               0.000944,               0.000944,               0.000944
                     19,                0.87886,                0.85021,                0.68909,                 1.0553,                 0.9729,                0.87279,                0.94426,                0.75189,                 0.9729,                0.87279,                0.93217,                0.71646,                0.75257,                0.79915,                0.61557,                 1.0142,               0.000878,               0.000878,               0.000878
                     20,                0.87328,                0.85509,                0.68126,                 1.0437,                0.94553,                0.89058,                0.92402,                0.72614,                0.95695,                 0.8783,                0.91895,                0.70493,                0.74618,                0.75681,                0.67335,                 1.0166,               0.000812,               0.000812,               0.000812
                     21,                0.79246,                0.78573,                0.61815,                 1.0279,                0.94606,                0.88754,                0.94117,                0.76182,                0.94606,                0.88754,                0.93275,                 0.7162,                0.73162,                0.74543,                0.56066,                0.99737,               0.000746,               0.000746,               0.000746
